"pathway","description","log2FC","p_adj","sig","direction"
"PWY-5415","catechol degradation I (meta-cleavage pathway)",-0.89755202259811,0.00470048323695244,"**","GCtS_higher"
"PWY-6641","superpathway of sulfolactate degradation",-0.899871822701367,0.011518291580068,"*","GCtS_higher"
"PWY3O-4107",NA,-0.901158282281916,0.0018401668114846,"**","GCtS_higher"
"PWY-7090","UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis",-0.902289504392065,0.00835150136106983,"**","GCtS_higher"
"PWY-5417","catechol degradation III (ortho-cleavage pathway)",-0.906651947938079,0.0123742184286709,"*","GCtS_higher"
"PWY-5431","aromatic compounds degradation via &beta;-ketoadipate",-0.906651947938079,0.0123742184286709,"*","GCtS_higher"
"ARG+POLYAMINE-SYN","superpathway of arginine and polyamine biosynthesis",-0.907071273578609,0.00247430058482324,"**","GCtS_higher"
"PWY-6897","thiamin salvage II",-0.908038022388804,0.00261818997990215,"**","GCtS_higher"
"PWY-6397","mycolyl-arabinogalactan-peptidoglycan complex biosynthesis",-0.90904028335584,0.0177553227263281,"*","GCtS_higher"
"PWY-5659","GDP-mannose biosynthesis",-0.910520723003286,0.00119063335435809,"**","GCtS_higher"
"PWY-7229","superpathway of adenosine nucleotides de novo biosynthesis I",-0.911259931309562,0.00316782972083854,"**","GCtS_higher"
"PWY0-1477","ethanolamine utilization",-0.912407094438104,0.00979740723264372,"**","GCtS_higher"
"PWY-7295","L-arabinose degradation IV",-0.913490088156494,0.0214422437996267,"*","GCtS_higher"
"PWY-5647","2-nitrobenzoate degradation I",-0.913824451122039,0.00715694762882931,"**","GCtS_higher"
"PWY1ZNC-1",NA,-0.914491763012944,0.00188575749477512,"**","GCtS_higher"
"PWY490-3","nitrate reduction VI (assimilatory)",-0.915134430795311,0.00320012682584907,"**","GCtS_higher"
"POLYAMSYN-PWY","superpathway of polyamine biosynthesis I",-0.917179872350065,0.00316630572560439,"**","GCtS_higher"
"PWY-7399","methylphosphonate degradation II",-0.937488691554208,0.00514620079937252,"**","GCtS_higher"
"PYRIDNUCSYN-PWY","NAD biosynthesis I (from aspartate)",-0.945078249635954,0.00136692951382566,"**","GCtS_higher"
"PWY-5005","biotin biosynthesis II",-0.950835497737922,0.00392719569943866,"**","GCtS_higher"
"METHGLYUT-PWY","superpathway of methylglyoxal degradation",-0.95185438237901,0.0126032277324405,"*","GCtS_higher"
"PWY0-781","aspartate superpathway",-0.953932208023013,0.00168489329810489,"**","GCtS_higher"
"PWY-5654","2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate",-0.95796977894708,0.00173440533147447,"**","GCtS_higher"
"PWY-6962","superpathway of trimethylamine degradation",-0.95856382811592,0.0168348025098169,"*","GCtS_higher"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","protocatechuate degradation II (ortho-cleavage pathway)",-0.964042412857343,0.00324005728620918,"**","GCtS_higher"
"P4-PWY","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",-0.964493301811038,0.0015902819571319,"**","GCtS_higher"
"CATECHOL-ORTHO-CLEAVAGE-PWY","catechol degradation to &beta;-ketoadipate",-0.965045209907158,0.0180744500507599,"*","GCtS_higher"
"PWY0-41","allantoin degradation IV (anaerobic)",-0.967890598710793,0.00514620079937252,"**","GCtS_higher"
"COLANSYN-PWY","colanic acid building blocks biosynthesis",-0.974716460724205,0.00188575749477512,"**","GCtS_higher"
"PWY-5178","toluene degradation IV (aerobic) (via catechol)",-0.976801261784861,0.00488265934042561,"**","GCtS_higher"
"P23-PWY","reductive TCA cycle I",-0.982813720723084,0.00145700319885976,"**","GCtS_higher"
"PWY0-862","(5Z)-dodec-5-enoate biosynthesis",-0.989702270497299,0.00470048323695244,"**","GCtS_higher"
"PWY-7254","TCA cycle VII (acetate-producers)",-0.995242176212597,0.00488265934042561,"**","GCtS_higher"
"PWY-5741","ethylmalonyl-CoA pathway",-0.996408707683105,0.00600996813848439,"**","GCtS_higher"
"PWY-7373","superpathway of demethylmenaquinol-6 biosynthesis II",-0.997430028584645,0.013001056583466,"*","GCtS_higher"
"PWY-5420","catechol degradation II (meta-cleavage pathway)",-0.998560566993895,0.00124446215304577,"**","GCtS_higher"
"LIPASYN-PWY","phospholipases",-0.999929422278385,0.0029009131373009,"**","GCtS_higher"
"PWY-6588","pyruvate fermentation to acetone",-1.00473545279049,0.00163861685984554,"**","GCtS_higher"
"PWY-6902","chitin degradation II",-1.0089846839669,0.0148689680541118,"*","GCtS_higher"
"CRNFORCAT-PWY","creatinine degradation I",-1.02273054402333,0.00716625119952186,"**","GCtS_higher"
"PWY-7805",NA,-1.02278545423595,0.00320523165254734,"**","GCtS_higher"
"MET-SAM-PWY","superpathway of S-adenosyl-L-methionine biosynthesis",-1.0244633895818,0.00124446215304577,"**","GCtS_higher"
"PWY66-388","fatty acid &alpha;-oxidation III",-1.02508602800109,0.0376583030275238,"*","GCtS_higher"
"PWY-7268","NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)",-1.0283250323736,0.0298577274093119,"*","GCtS_higher"
"P185-PWY","formaldehyde assimilation III (dihydroxyacetone cycle)",-1.03680515923816,0.0471155494304901,"*","GCtS_higher"
"PWY-6895","superpathway of thiamin diphosphate biosynthesis II",-1.03705080505779,0.00173693727710334,"**","GCtS_higher"
"PWY-5430","meta cleavage pathway of aromatic compounds",-1.03960253024089,0.00128784935511634,"**","GCtS_higher"
"PWY-5347","superpathway of L-methionine biosynthesis (transsulfuration)",-1.0457427345759,0.00119063335435809,"**","GCtS_higher"
"PWY-5419","catechol degradation to 2-oxopent-4-enoate II",-1.0515770629781,0.00062253194577238,"***","GCtS_higher"
"METSYN-PWY",NA,-1.05413258207256,0.00124446215304577,"**","GCtS_higher"
"PWY0-1337","oleate &beta;-oxidation",-1.05574286551198,0.00157082432803429,"**","GCtS_higher"
"PWY-7356","thiamin salvage IV (yeast)",-1.05937212944556,0.00392719569943866,"**","GCtS_higher"
