"site1","site2","p_adj","family","sig"
"Muzzle","Dorsum",0.000188149132486564,"Corynebacteriaceae","***"
"Muzzle","Environment",0.231674503672217,"Corynebacteriaceae","ns"
"Muzzle","Forehead",0.944842469107504,"Corynebacteriaceae","ns"
"Muzzle","Left front pastern",0.92323994163589,"Corynebacteriaceae","ns"
"Neck","Dorsum",0.000188149132486564,"Corynebacteriaceae","***"
"Neck","Environment",0.231674503672217,"Corynebacteriaceae","ns"
"Neck","Forehead",0.000188149132486564,"Corynebacteriaceae","***"
"Neck","Left front pastern",0.00263333517053121,"Corynebacteriaceae","**"
"Neck","Muzzle",0.00540667458403909,"Corynebacteriaceae","**"
"Pectoral area","Dorsum",0.000188149132486564,"Corynebacteriaceae","***"
"Pectoral area","Environment",0.231674503672217,"Corynebacteriaceae","ns"
"Pectoral area","Forehead",0.557312986775082,"Corynebacteriaceae","ns"
"Pectoral area","Left front pastern",1,"Corynebacteriaceae","ns"
"Pectoral area","Muzzle",0.725826861142147,"Corynebacteriaceae","ns"
"Pectoral area","Neck",0.000389382702588925,"Corynebacteriaceae","***"
"Udder","Dorsum",0.000188149132486564,"Corynebacteriaceae","***"
"Udder","Environment",0.503387720817549,"Corynebacteriaceae","ns"
"Udder","Forehead",1,"Corynebacteriaceae","ns"
"Udder","Left front pastern",1,"Corynebacteriaceae","ns"
"Udder","Muzzle",0.84894476124249,"Corynebacteriaceae","ns"
"Udder","Neck",0.0182968377936432,"Corynebacteriaceae","*"
"Udder","Pectoral area",0.825524121230105,"Corynebacteriaceae","ns"
"Ventral abdomen","Dorsum",0.000389382702588925,"Corynebacteriaceae","***"
"Ventral abdomen","Environment",0.343652826097588,"Corynebacteriaceae","ns"
"Ventral abdomen","Forehead",0.097169859952748,"Corynebacteriaceae","ns"
"Ventral abdomen","Left front pastern",0.16551440001373,"Corynebacteriaceae","ns"
"Ventral abdomen","Muzzle",0.103896307512575,"Corynebacteriaceae","ns"
"Ventral abdomen","Neck",0.965709724879856,"Corynebacteriaceae","ns"
"Ventral abdomen","Pectoral area",0.187483281912486,"Corynebacteriaceae","ns"
"Ventral abdomen","Udder",0.176067514184033,"Corynebacteriaceae","ns"
"Environment","Dorsum",0.447917148423994,"Dermabacteraceae","ns"
"Forehead","Dorsum",0.0438572723459357,"Dermabacteraceae","*"
"Forehead","Environment",0.35681304102996,"Dermabacteraceae","ns"
"Left front pastern","Dorsum",0.318329941185233,"Dermabacteraceae","ns"
"Left front pastern","Environment",0.447917148423994,"Dermabacteraceae","ns"
"Left front pastern","Forehead",0.865603673739776,"Dermabacteraceae","ns"
"Muzzle","Dorsum",0.000694428103199307,"Dermabacteraceae","***"
"Muzzle","Environment",0.268254688462567,"Dermabacteraceae","ns"
"Muzzle","Forehead",0.00265685436874996,"Dermabacteraceae","**"
"Muzzle","Left front pastern",0.00645474049012051,"Dermabacteraceae","**"
"Neck","Dorsum",0.807475128012916,"Dermabacteraceae","ns"
"Neck","Environment",0.561142459681612,"Dermabacteraceae","ns"
"Neck","Forehead",0.318329941185233,"Dermabacteraceae","ns"
"Neck","Left front pastern",0.519549879672947,"Dermabacteraceae","ns"
"Neck","Muzzle",0.0017804065907162,"Dermabacteraceae","**"
"Pectoral area","Dorsum",0.35681304102996,"Dermabacteraceae","ns"
"Pectoral area","Environment",0.807475128012916,"Dermabacteraceae","ns"
"Pectoral area","Forehead",0.102665908456803,"Dermabacteraceae","ns"
"Pectoral area","Left front pastern",0.190783296739085,"Dermabacteraceae","ns"
"Pectoral area","Muzzle",0.0013920427204775,"Dermabacteraceae","**"
"Pectoral area","Neck",0.519549879672947,"Dermabacteraceae","ns"
"Udder","Dorsum",0.00869081117916353,"Dermabacteraceae","**"
"Udder","Environment",1,"Dermabacteraceae","ns"
"Udder","Forehead",0.0013920427204775,"Dermabacteraceae","**"
"Udder","Left front pastern",0.00757747591759406,"Dermabacteraceae","**"
"Udder","Muzzle",0.000255445126000428,"Dermabacteraceae","***"
"Udder","Neck",0.0438572723459357,"Dermabacteraceae","*"
"Udder","Pectoral area",0.35681304102996,"Dermabacteraceae","ns"
"Ventral abdomen","Dorsum",0.00757747591759406,"Dermabacteraceae","**"
"Ventral abdomen","Environment",1,"Dermabacteraceae","ns"
"Ventral abdomen","Forehead",0.0013920427204775,"Dermabacteraceae","**"
"Ventral abdomen","Left front pastern",0.00757747591759406,"Dermabacteraceae","**"
"Ventral abdomen","Muzzle",0.000255445126000428,"Dermabacteraceae","***"
"Ventral abdomen","Neck",0.0438572723459357,"Dermabacteraceae","*"
"Ventral abdomen","Pectoral area",0.35681304102996,"Dermabacteraceae","ns"
"Ventral abdomen","Udder",1,"Dermabacteraceae","ns"
"Environment","Dorsum",0.161137811821285,"Christensenellaceae","ns"
"Forehead","Dorsum",0.000996393184256483,"Christensenellaceae","***"
"Forehead","Environment",0.203873563231551,"Christensenellaceae","ns"
"Left front pastern","Dorsum",0.000996393184256483,"Christensenellaceae","***"
"Left front pastern","Environment",0.294559565226504,"Christensenellaceae","ns"
"Left front pastern","Forehead",0.161137811821285,"Christensenellaceae","ns"
"Muzzle","Dorsum",0.000468773200956729,"Christensenellaceae","***"
"Muzzle","Environment",0.203873563231551,"Christensenellaceae","ns"
"Muzzle","Forehead",0.217679196932313,"Christensenellaceae","ns"
"Muzzle","Left front pastern",0.430657935450063,"Christensenellaceae","ns"
"Neck","Dorsum",0.012858788073709,"Christensenellaceae","*"
"Neck","Environment",0.203873563231551,"Christensenellaceae","ns"
"Neck","Forehead",0.508427329858833,"Christensenellaceae","ns"
"Neck","Left front pastern",0.0752507033758483,"Christensenellaceae","ns"
"Neck","Muzzle",0.114400677341836,"Christensenellaceae","ns"
"Pectoral area","Dorsum",0.000996393184256483,"Christensenellaceae","***"
"Pectoral area","Environment",0.203873563231551,"Christensenellaceae","ns"
"Pectoral area","Forehead",0.532721192917378,"Christensenellaceae","ns"
"Pectoral area","Left front pastern",0.30799890603232,"Christensenellaceae","ns"
"Pectoral area","Muzzle",0.660287524654259,"Christensenellaceae","ns"
"Pectoral area","Neck",0.270718700293598,"Christensenellaceae","ns"
"Udder","Dorsum",0.000996393184256483,"Christensenellaceae","***"
"Udder","Environment",1,"Christensenellaceae","ns"
"Udder","Forehead",0.0139804924014872,"Christensenellaceae","*"
"Udder","Left front pastern",0.0752507033758483,"Christensenellaceae","ns"
"Udder","Muzzle",0.0435899684960838,"Christensenellaceae","*"
"Udder","Neck",0.0114062719237183,"Christensenellaceae","*"
"Udder","Pectoral area",0.0284321720948247,"Christensenellaceae","*"
