"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"GALACTITOLCAT-PWY",941.801599179237,350.646821382815,-1.42540452230906,1740.5,9.41058911041459e-06,0.000267458848401257,"***","GCtS_higher"
"P42-PWY",15819.8307375209,6979.30621031006,-1.18057862879714,1744,8.36760779622552e-06,0.000267458848401257,"***","GCtS_higher"
"PWY-5861",3728.78016073747,1491.021519334,-1.32240266241073,1741,9.3648306898268e-06,0.000267458848401257,"***","GCtS_higher"
"PWY-7316",745.509505657633,226.995160228059,-1.71556520968808,1741,9.35578574501328e-06,0.000267458848401257,"***","GCtS_higher"
"P381-PWY",3302.78101631983,1092.59508192287,-1.59592248386262,1737.5,1.05248730408736e-05,0.000270639592479606,"***","GCtS_higher"
"PWY-6470",9259.73423134495,3837.71994761578,-1.27072134983709,1739,1.00909154851163e-05,0.000270639592479606,"***","GCtS_higher"
"PWY-5862",2082.88846316485,723.838697773579,-1.52484544233606,1725,1.68579473518449e-05,0.000364473721605731,"***","GCtS_higher"
"PWY-5897",4744.18259716704,1905.98744598084,-1.31562092153954,1725,1.68737834076727e-05,0.000364473721605731,"***","GCtS_higher"
"PWY-5898",4744.18259716704,1905.98744598084,-1.31562092153954,1725,1.68737834076727e-05,0.000364473721605731,"***","GCtS_higher"
"PWY-5899",4744.18259716704,1905.98744598084,-1.31562092153954,1725,1.68737834076727e-05,0.000364473721605731,"***","GCtS_higher"
"PWY-5840",5079.89104250845,2077.35630570898,-1.29004886651113,1720,2.02018660601367e-05,0.000403671975201008,"***","GCtS_higher"
"PWY-5845",2801.13276782832,1031.65016930214,-1.44105652733494,1718,2.16786801496838e-05,0.000403671975201008,"***","GCtS_higher"
"PWY-5860",2082.88846316485,729.063648006002,-1.51446891247895,1719,2.07708043520327e-05,0.000403671975201008,"***","GCtS_higher"
"PWY-5896",2801.13276782832,1031.65016930214,-1.44105652733494,1718,2.16786801496838e-05,0.000403671975201008,"***","GCtS_higher"
"PWY-5154",8380.60152983543,3905.25502499427,-1.10163703536673,1717,2.24858043303651e-05,0.000404744477946573,"***","GCtS_higher"
"GLYCOL-GLYOXDEG-PWY",277.202124671896,109.875912818302,-1.33506316441357,1714,2.48677557195265e-05,0.000419643377767009,"***","GCtS_higher"
"PWY6666-2",376.836073915019,103.432546486848,-1.86524685732522,1714.5,2.43477596255648e-05,0.000419643377767009,"***","GCtS_higher"
"PWY-4321",480.994650697635,117.381458372691,-2.034816311686,1709.5,2.83977614583542e-05,0.000421192131554555,"***","GCtS_higher"
